Job Title,Job Link,Agency,Location,Pay,Section,latitude,longitude,google_maps_url,MinAnnualSalary,MaxAnnualSalary
AQUATIC BIOLOGIST III - HAWAII ISLAND,https://www.governmentjobs.com/jobs/4853238-0/aquatic-biologist-iii-hawaii-island,Various - See Position Description,Island of Hawaii,,GIS,21.3184988,-157.87057,"https://www.google.com/maps/search/?api=1&query=21.3184988,-157.87057",,
Natural Resource Specialist 4 (PCN 10-1909),https://www.governmentjobs.com/jobs/4862848-0/natural-resource-specialist-4-pcn-10-1909,State of Alaska,"Anchorage, AK","Full Time - $3,144.75 Biweekly",Natural Resources,61.2163129,-149.894852,"https://www.google.com/maps/search/?api=1&query=61.2163129,-149.894852",,3144.75
Land Use Technician,https://www.governmentjobs.com/jobs/4841772-0/land-use-technician,San Bernardino County,"Throughout San Bernardino County, CA","Full-time - $55,494.40 - $76,294.40 Annually",Natural Resources,,,,55494.4,76294.4
Land Use Supervising Planner*,https://www.governmentjobs.com/jobs/4793173-0/land-use-supervising-planner,San Bernardino County,"San Bernardino, CA","Full-time - $92,580.80 - $127,504.00 Annually",Natural Resources,34.8253019,-116.0833144,"https://www.google.com/maps/search/?api=1&query=34.8253019,-116.0833144",92580.8,127504.0
Land Use Planning Manager*,https://www.governmentjobs.com/jobs/4773267-0/land-use-planning-manager,San Bernardino County,"San Bernardino, CA","Full-time - $104,748.80 - $144,310.40 Annually",Natural Resources,34.8253019,-116.0833144,"https://www.google.com/maps/search/?api=1&query=34.8253019,-116.0833144",104748.8,144310.4
Wastewater Treatment Plant Pretreatment Technician,https://www.governmentjobs.com/jobs/4862839-0/wastewater-treatment-plant-pretreatment-technician,Pierce County,"Tacoma, WA",Career Service - Full Time - $36.90 - $46.75 Hourly,Water,47.2455013,-122.438329,"https://www.google.com/maps/search/?api=1&query=47.2455013,-122.438329",76752.0,97240.0
Land Use Technician Trainee,https://www.governmentjobs.com/jobs/4847702-0/land-use-technician-trainee,San Bernardino County,"Throughout San Bernardino County, CA","Full-time - $38,272.00 - $50,315.20 Annually",Natural Resources,,,,38272.0,50315.2
Geographic Information Spatial Analyst III,https://www.governmentjobs.com/jobs/4651740-0/geographic-information-spatial-analyst-iii,Fairfax County,"FAIRFAX (EJ32), VA","FT Salary W BN - $77,640.16 - $129,399.50 Annually",GIS,38.8462236,-77.3063733,"https://www.google.com/maps/search/?api=1&query=38.8462236,-77.3063733",77640.16,129399.5
Environmental Technologist I,https://www.governmentjobs.com/jobs/4855380-0/environmental-technologist-i,Fairfax County,"LORTON (JP04), VA","FT Hourly W BN - $58,529.74 - $97,548.88 Annually",Environmental,38.7043397,-77.220343,"https://www.google.com/maps/search/?api=1&query=38.7043397,-77.220343",121741859.2,202901670.4
Lake Patrol (Boulder Reservoir),https://www.governmentjobs.com/jobs/119825-1/lake-patrol-boulder-reservoir,"City of Boulder, CO","Boulder, CO",Part-Time - $17.78 - $24.88 Hourly,Natural Resources,40.0149856,-105.270545,"https://www.google.com/maps/search/?api=1&query=40.0149856,-105.270545",36982.4,51750.4
Junior Ranger Assistant Crew Lead,https://www.governmentjobs.com/jobs/119824-1/junior-ranger-assistant-crew-lead,"City of Boulder, CO","Boulder, CO",Full-Time - $16.25 - $22.75 Hourly,Parks & Recreation,40.0149856,-105.270545,"https://www.google.com/maps/search/?api=1&query=40.0149856,-105.270545",33800.0,47320.0
GIS Manager,https://www.governmentjobs.com/jobs/119821-1/gis-manager,"City of Boulder, CO","Boulder, CO","Full-Time - $93,683.20 - $139,152.00 Annually",GIS,40.0149856,-105.270545,"https://www.google.com/maps/search/?api=1&query=40.0149856,-105.270545",93683.2,139152.0
Environmental Director,https://www.governmentjobs.com/jobs/119808-1/environmental-director,Full-Time Regular - Depends On Qualifications,"Banning, CA",,Environmental,33.9255685,-116.875289,"https://www.google.com/maps/search/?api=1&query=33.9255685,-116.875289",,
"Teacher (Lakeview Upper Elementary) - Special Education - Extensive Support Needs **$10,000 SIGNING BONUS**",https://www.governmentjobs.com/jobs/119806-1/teacher-lakeview-upper-elementary-special-education-extensive-support-needs,El Dorado County Office of Education,"Placerville, CA","Full-Time - $61,854.00 - $126,092.00 Annually",Natural Resources,38.7296252,-120.798546,"https://www.google.com/maps/search/?api=1&query=38.7296252,-120.798546",61854.0,126092.0
Water Quality Analyst,https://www.governmentjobs.com/jobs/119802-1/water-quality-analyst,- See Position Description,"Oregon City, OR",,Environmental,45.3573429,-122.606758,"https://www.google.com/maps/search/?api=1&query=45.3573429,-122.606758",,
(SEA) Beach Park Ranger - Breezy Point,https://www.governmentjobs.com/jobs/119781-1/sea-beach-park-ranger-breezy-point,"Calvert County, MD","Prince Frederick, MD",- $20.57 Hourly,Parks & Recreation,38.54060749999999,-76.58351285647468,"https://www.google.com/maps/search/?api=1&query=38.54060749999999,-76.58351285647468",,42785.6
Wastewater Treatment Plant Operator,https://www.governmentjobs.com/jobs/119761-1/wastewater-treatment-plant-operator,City of Kalispell,"Kalispell, MT",Full-Time - $26.07 Hourly,Water,48.202158,-114.315321,"https://www.google.com/maps/search/?api=1&query=48.202158,-114.315321",,54225.6
Golf Starter & Ranger -Volunteer,https://www.governmentjobs.com/jobs/119760-1/golf-starter-ranger-volunteer,Anoka County,"Lino Lakes, MN",Part-Time Temporary - $0.00 Annually,Parks & Recreation,45.1602442,-93.0888324,"https://www.google.com/maps/search/?api=1&query=45.1602442,-93.0888324",,0.0
Land Survey Specialist 2 / Land Surveyor 1 (PCN 10-1830),https://www.governmentjobs.com/jobs/4862692-0/land-survey-specialist-2-land-surveyor-1-pcn-10-1830,State of Alaska,"Anchorage, AK","Full Time - $2,940.00 - $3,144.75 Biweekly",Natural Resources,61.2163129,-149.894852,"https://www.google.com/maps/search/?api=1&query=61.2163129,-149.894852",2940.0,3144.75
Environmental Compliance Coordinator,https://www.governmentjobs.com/jobs/4861753-0/environmental-compliance-coordinator,City of Pasco,"City of Pasco, WA","Regular Full-Time - $87,214.40 - $104,707.20 Annually",Environmental,46.2362721,-119.090395,"https://www.google.com/maps/search/?api=1&query=46.2362721,-119.090395",87214.4,104707.2
Environmental Health Technician - Pool Inspector,https://www.governmentjobs.com/jobs/4860253-0/environmental-health-technician-pool-inspector,Tacoma-Pierce County Health Department,"Tacoma-Pierce County Health Department, WA","Temporary - $56,388.80 - $72,716.80 Annually",Environmental,,,,56388.8,72716.8
Senior Park Aide (Central Lakes Area) Seasonal,https://www.governmentjobs.com/jobs/4856083-0/senior-park-aide-central-lakes-area-seasonal,State of Washington,"Chelan County – Chelan, WA","Seasonal - $3,477.00 - $4,194.00 Monthly",Parks & Recreation,47.8012197,-120.6276904,"https://www.google.com/maps/search/?api=1&query=47.8012197,-120.6276904",3477.0,4194.0
Environmental Health Specialist I/II,https://www.governmentjobs.com/jobs/4856567-0/environmental-health-specialist-i-ii,Tacoma-Pierce County Health Department,"Tacoma-Pierce County Health Department, WA","Regular - $68,265.60 - $87,817.60 Annually",Environmental,,,,68265.6,87817.6
Ecotoxicologist (Water Quality Planner/ Project Manager II),https://www.governmentjobs.com/jobs/4853314-0/ecotoxicologist-water-quality-planner-project-manager-ii,King County,"Seattle - Regional area, WA","Career Service, Full Time, 40 hrs/week - $94,241.26 - $119,456.27 Annually",Environmental,,,,196021820.79999998,248469041.6
Wastewater Treatment Plant Operator-In-Training,https://www.governmentjobs.com/jobs/4861672-0/wastewater-treatment-plant-operator-in-training,Full-Time - See Position Description,"Idaho Falls, ID",,Water,43.4887907,-112.03628,"https://www.google.com/maps/search/?api=1&query=43.4887907,-112.03628",,
Forestry Technician I (Summer 2025),https://www.governmentjobs.com/jobs/4861777-0/forestry-technician-i-summer-2025,"Mountain Village, Town of (CO)","Mountain Village, CO",Seasonal - $23.07 - $31.14 Hourly,Forestry,37.9313827,-107.856453,"https://www.google.com/maps/search/?api=1&query=37.9313827,-107.856453",47985.6,64771.200000000004
Habitat and Access Branch Chief 2025-00617,https://www.governmentjobs.com/jobs/4860752-0/habitat-and-access-branch-chief-2025-00617,State of Wyoming,"Statewide, WY","Permanent Full-time - $8,871.71 - $9,857.45 Monthly",Natural Resources,,,,8871.71,9857.45
Forestry Technician II/ Crew Leader Assistant (Summer 2025),https://www.governmentjobs.com/jobs/4861887-0/forestry-technician-ii-crew-leader-assistant-summer-2025,"Mountain Village, Town of (CO)","Mountain Village, CO",Seasonal - $25.37 - $34.25 Hourly,Forestry,37.9313827,-107.856453,"https://www.google.com/maps/search/?api=1&query=37.9313827,-107.856453",52769.6,71240.0
Environmental Laboratory Chemist,https://www.governmentjobs.com/jobs/4858858-0/environmental-laboratory-chemist,San Antonio Water System,"San Antonio, TX","Full Time - $62,109.00 - $106,538.00 Annually",Environmental,29.4246002,-98.4951405,"https://www.google.com/maps/search/?api=1&query=29.4246002,-98.4951405",62109.0,106538.0
Area Land Manager (Open),https://www.governmentjobs.com/jobs/4848859-0/area-land-manager-open,"St. Louis County, Minnesota","Duluth, MN","Permanent, Full-Time - $36.30 - $44.81 Hourly",Natural Resources,46.7729322,-92.1251218,"https://www.google.com/maps/search/?api=1&query=46.7729322,-92.1251218",75504.0,93204.8
Seasonal Program Instructor - Outdoor Murfreesboro,https://www.governmentjobs.com/jobs/4858095-0/seasonal-program-instructor-outdoor-murfreesboro,City of Murfreesboro,"Murfreesboro, TN",Seasonal - $14.86 Hourly,Parks & Recreation,35.8460396,-86.3921096,"https://www.google.com/maps/search/?api=1&query=35.8460396,-86.3921096",,30908.8
Landscape Recycling Center Attendant,https://www.governmentjobs.com/jobs/4862499-0/landscape-recycling-center-attendant,City of Columbus (WI),Columbus,Seasonal - $16.79 Hourly,Parks & Recreation,39.9622601,-83.0007065,"https://www.google.com/maps/search/?api=1&query=39.9622601,-83.0007065",,34923.2
Rehabilitation Assistant - Storm Lake,https://www.governmentjobs.com/jobs/4862271-0/rehabilitation-assistant-storm-lake,State of Iowa,"Storm Lake - 50588 - Buena Vista County, IA","Full-time - $36,628.80 - $53,788.80 Annually",Natural Resources,42.6452817,-95.1992726,"https://www.google.com/maps/search/?api=1&query=42.6452817,-95.1992726",36628.8,53788.8
Environmental Scientist 1/2/3,https://www.governmentjobs.com/jobs/4861401-0/environmental-scientist-1-2-3,State of Louisiana,"Baton Rouge, LA","Classified - $1,672.80 - $2,641.60 Biweekly",Environmental,30.4494155,-91.1869659,"https://www.google.com/maps/search/?api=1&query=30.4494155,-91.1869659",1672.8,2641.6
Naturalist Aide (Summer Seasonal),https://www.governmentjobs.com/jobs/4844609-0/naturalist-aide-summer-seasonal,Ramsey County,"(Tamarack Nature Center) White Bear Township, MN",Seasonal - $16.39 Hourly,Natural Resources,45.0935647,-93.0480581,"https://www.google.com/maps/search/?api=1&query=45.0935647,-93.0480581",,34091.200000000004
Seasonal Weeds Inspector - BNS,https://www.governmentjobs.com/jobs/4861131-0/seasonal-weeds-inspector-bns,City of Indianapolis and Marion County,"City County Building, IN",Part-time/Seasonal/Temp - $15.00 Hourly,Natural Resources,39.767970399999996,-86.15353618045614,"https://www.google.com/maps/search/?api=1&query=39.767970399999996,-86.15353618045614",,31200.0
"Recreation Services Manager (Outdoor Recreation, Education, and City Lakes)",https://www.governmentjobs.com/jobs/4861236-0/recreation-services-manager-outdoor-recreation-education-and-city-lakes,City of Durham,"Durham, NC","Full time with benefits - $84,428.00 - $130,874.00 Annually",Parks & Recreation,35.996653,-78.9018053,"https://www.google.com/maps/search/?api=1&query=35.996653,-78.9018053",84428.0,130874.0
Landscape Supervisor,https://www.governmentjobs.com/jobs/4857104-0/landscape-supervisor,City of Deerfield Beach,"Bernard Adams Municipal Complex (Formerly Central City Campus), FL",Full-Time - $27.86 - $36.21 Hourly,Natural Resources,27.7567667,-81.4639835,"https://www.google.com/maps/search/?api=1&query=27.7567667,-81.4639835",57948.799999999996,75316.8
Assistant State Forester - Forest Protection,https://www.governmentjobs.com/jobs/4860489-0/assistant-state-forester-forest-protection,State of North Carolina,"Wake County, NC","Permanent Full-Time - $73,096.00 - $142,538.00 Annually",Forestry,35.7979355,-78.6118311,"https://www.google.com/maps/search/?api=1&query=35.7979355,-78.6118311",73096.0,142538.0
Plant Operator I - Wastewater Division,https://www.governmentjobs.com/jobs/4722777-0/plant-operator-i-wastewater-division,Collier County,"Naples, FL","Full Time, Regular - $43,492.80 Annually",Water,26.1421976,-81.7942944,"https://www.google.com/maps/search/?api=1&query=26.1421976,-81.7942944",,43492.8
Air Quality Specialist Trainee (Environmental Trainee),https://www.governmentjobs.com/jobs/4858272-0/air-quality-specialist-trainee-environmental-trainee,Commonwealth of Pennsylvania,"Luzerne County, PA","Civil Service Permanent Full-Time - $44,890.00 - $67,678.00 Annually",Environmental,41.1749635,-75.9695233,"https://www.google.com/maps/search/?api=1&query=41.1749635,-75.9695233",44890.0,67678.0
Environmental Protection Compliance Specialist,https://www.governmentjobs.com/jobs/4854742-0/environmental-protection-compliance-specialist,Commonwealth of Pennsylvania,"Cambria County, PA","Civil Service Permanent Full-Time - $58,035.00 - $88,235.00 Annually",Environmental,40.4843583,-78.718852,"https://www.google.com/maps/search/?api=1&query=40.4843583,-78.718852",58035.0,88235.0
Environmental Protection Compliance Specialist,https://www.governmentjobs.com/jobs/4856316-0/environmental-protection-compliance-specialist,Commonwealth of Pennsylvania,"Dauphin County, PA","Civil Service Permanent Full-Time - $58,035.00 - $88,235.00 Annually",Environmental,40.398036,-76.8115168,"https://www.google.com/maps/search/?api=1&query=40.398036,-76.8115168",58035.0,88235.0
Water Quality Specialist Supervisor,https://www.governmentjobs.com/jobs/4858334-0/water-quality-specialist-supervisor,Commonwealth of Pennsylvania,"Allegheny County, PA","Civil Service Permanent Full-Time - $66,250.00 - $100,636.00 Annually",Environmental,40.4597204,-79.9760405,"https://www.google.com/maps/search/?api=1&query=40.4597204,-79.9760405",66250.0,100636.0
County Engineer - Land Development,https://www.governmentjobs.com/jobs/119691-1/county-engineer-land-development,Rockwall County,"Rockwall, TX","Full-Time - $120,000.00 Annually",Natural Resources,32.8923464,-96.4066987,"https://www.google.com/maps/search/?api=1&query=32.8923464,-96.4066987",,120000.0
Land Manager (Environmental Specialist III) - R19254,https://www.governmentjobs.com/jobs/119679-1/land-manager-environmental-specialist-iii-r19254,Sarasota County Government,"Englewood, FL","Full-Time - $57,577.60 - $63,003.00 Annually",Environmental,26.9606125,-82.3576323996642,"https://www.google.com/maps/search/?api=1&query=26.9606125,-82.3576323996642",57577.6,63003.0
Wildland Operations Battalion Chief,https://www.governmentjobs.com/jobs/4859303-0/wildland-operations-battalion-chief,FULL-TIME,"CA 92602, CA",,Forestry,33.909478199999995,-117.50042513868998,"https://www.google.com/maps/search/?api=1&query=33.909478199999995,-117.50042513868998",,
GIS Analyst,https://www.governmentjobs.com/jobs/4856979-0/gis-analyst,City of Newberg Oregon,"NEWBERG, OR","Regular Full-time - $5,635.07 - $7,212.40 Monthly",GIS,45.300347,-122.972751,"https://www.google.com/maps/search/?api=1&query=45.300347,-122.972751",5635.07,7212.4
GIS Specialist,https://www.governmentjobs.com/jobs/4861650-0/gis-specialist,City of Oxnard,"Oxnard 93030, CA","Full Time - $56,031.66 - $78,444.08 Annually",GIS,34.1976308,-119.180381,"https://www.google.com/maps/search/?api=1&query=34.1976308,-119.180381",56031.66,78444.08
Wildlife Area Technician - Natural Resource Technician 3 - Non-Permanent - *01764-25,https://www.governmentjobs.com/jobs/4859407-0/wildlife-area-technician-natural-resource-technician-3-non-permanent-01764,State of Washington,"Skagit County - Mt. Vernon, WA","Full Time - Non-Permanent - $3,393.00 - $4,517.00 Monthly",Fish & Wildlife,48.44093445,-122.33564195,"https://www.google.com/maps/search/?api=1&query=48.44093445,-122.33564195",3393.0,4517.0
Park Ranger I,https://www.governmentjobs.com/jobs/4841791-0/park-ranger-i,County of Santa Clara,"Throughout the County of Santa Clara, CA","Full-Time - $74,896.64 - $90,584.00 Annually",Parks & Recreation,,,,74896.64,90584.0
Senior Chemist (Regional Water Quality Control Plant),https://www.governmentjobs.com/jobs/4685224-0/senior-chemist-regional-water-quality-control-plant,City of Palo Alto,"Palo Alto, CA","Regular Full-Time - $115,481.60 - $141,793.60 Annually",Environmental,37.4443293,-122.1598465,"https://www.google.com/maps/search/?api=1&query=37.4443293,-122.1598465",115481.6,141793.6
Cultural Resources Unit Manager (Environmental Planner 5),https://www.governmentjobs.com/jobs/4856159-0/cultural-resources-unit-manager-environmental-planner-5,State of Washington,"Thurston County – Olympia, WA","Full Time - Permanent - $6,705.00 - $9,021.00 Monthly",Environmental,47.0435674,-122.8585789,"https://www.google.com/maps/search/?api=1&query=47.0435674,-122.8585789",6705.0,9021.0
"Substitute Teacher (Part-Time / Temporary) at Mount View YSC in Lakewood, CO",https://www.governmentjobs.com/jobs/4847748-0/substitute-teacher-part-time-temporary-at-mount-view-ysc-in-lakewood-co,State of Colorado,"Lakewood, CO",Temporary Part Time (9 mos or less) - $23.79 Hourly,Natural Resources,39.7085736,-105.0846694,"https://www.google.com/maps/search/?api=1&query=39.7085736,-105.0846694",,49483.2
Wildland Fire Fighting Supervisor CSTS I (Canon City),https://www.governmentjobs.com/jobs/4857334-0/wildland-fire-fighting-supervisor-csts-i-canon-city,State of Colorado,"Canon City, CO","Full Time - $4,932.00 - $6,904.00 Monthly",Forestry,38.4422506,-105.2348795,"https://www.google.com/maps/search/?api=1&query=38.4422506,-105.2348795",4932.0,6904.0
Senior Park Ranger,https://www.governmentjobs.com/jobs/4860675-0/senior-park-ranger,City and County of Broomfield,"Norman Smith Service Center, CO",TM Non-Benefited - $20.84 - $25.47 Hourly,Parks & Recreation,,,,43347.2,52977.6
Elections GIS Analyst,https://www.governmentjobs.com/jobs/4858336-0/elections-gis-analyst,Arapahoe County,"80120, CO","Full-time - $74,877.40 - $119,610.14 Annually",GIS,39.59161482049481,-105.00636184855547,"https://www.google.com/maps/search/?api=1&query=39.59161482049481,-105.00636184855547",74877.4,119610.14
"CPW WILDLIFE MANAGER III / Wildlife Damage Specialists (Garfield, Mesa or Grand County, CO)",https://www.governmentjobs.com/jobs/4854707-0/cpw-wildlife-manager-iii-wildlife-damage-specialists-garfield-mesa-or-grand-c,State of Colorado,"Statewide, CO","Full Time - $63,624.00 - $82,716.00 Annually",Fish & Wildlife,47.3915543,-122.23002488928972,"https://www.google.com/maps/search/?api=1&query=47.3915543,-122.23002488928972",63624.0,82716.0
Environmental Service Worker,https://www.governmentjobs.com/jobs/4859511-0/environmental-service-worker,Sheboygan County,"Plymouth, WI",Full Time - $17.34 - $21.71 Hourly,Environmental,43.7486054,-87.977038,"https://www.google.com/maps/search/?api=1&query=43.7486054,-87.977038",36067.2,45156.8
GIS Intern,https://www.governmentjobs.com/jobs/4859932-0/gis-intern,Minnesota City Jobs,Blaine,Internship - $22.85 - $24.32 Hourly,GIS,45.1607987,-93.2349489,"https://www.google.com/maps/search/?api=1&query=45.1607987,-93.2349489",47528.0,50585.6
"Plant Maintenance Technician or Operator (Hiring Incentive: $1,000)",https://www.governmentjobs.com/jobs/4860287-0/plant-maintenance-technician-or-operator-hiring-incentive-1-000,City of Lewisville,"Lewisville, TX","Full-Time - $45,257.90 - $61,397.68 Annually",Water,33.046233,-96.994174,"https://www.google.com/maps/search/?api=1&query=33.046233,-96.994174",45257.9,61397.68
Environmental Attendant,https://www.governmentjobs.com/jobs/4860511-0/environmental-attendant,Carver County,"Carver County Environmental Center, MN",Full-Time - $17.12 - $25.68 Hourly,Environmental,,,,35609.6,53414.4
Forestry Technician I - Area 44,https://www.governmentjobs.com/jobs/4852049-0/forestry-technician-i-area-44,State of Mississippi,"55 - PEARL RIVER COUNTY, MS","Full-Time - $37,000.00 - $42,856.26 Annually",Forestry,31.275641644444445,-89.2660359111111,"https://www.google.com/maps/search/?api=1&query=31.275641644444445,-89.2660359111111",37000.0,42856.26
Forestry Team Lead - Area 44,https://www.governmentjobs.com/jobs/4852114-0/forestry-team-lead-area-44,State of Mississippi,"55 - PEARL RIVER COUNTY, MS","Full-Time - $55,000.00 - $71,208.86 Annually",Forestry,31.275641644444445,-89.2660359111111,"https://www.google.com/maps/search/?api=1&query=31.275641644444445,-89.2660359111111",55000.0,71208.86
Environmental Health Specialist 1,https://www.governmentjobs.com/jobs/4825218-0/environmental-health-specialist-1,DuPage County Health Department,"422 N. Cass Avenue - Westmont IL 60559, IL","Full Time (37.5 hours per week) - $44,400.00 Annually",Environmental,41.82346887054091,-87.97546932442054,"https://www.google.com/maps/search/?api=1&query=41.82346887054091,-87.97546932442054",,92352000.0
Landscape Technician,https://www.governmentjobs.com/jobs/4859193-0/landscape-technician,"Eau Claire, City of (WI)","Eau Claire, WI",Full-Time - $29.29 - $34.99 Hourly,Natural Resources,44.811349,-91.4984941,"https://www.google.com/maps/search/?api=1&query=44.811349,-91.4984941",60923.2,72779.2
Senior Tree & Landscape Plans Examiner,https://www.governmentjobs.com/jobs/4857785-0/senior-tree-landscape-plans-examiner,City of San Antonio,"78207, TX",4C Full-Time - $24.15 - $36.22 Hourly,Natural Resources,29.422713237142855,-98.52537216163266,"https://www.google.com/maps/search/?api=1&query=29.422713237142855,-98.52537216163266",50232.0,75337.59999999999
BIOLOGIST 1-3  LAFAYETTE WMA,https://www.governmentjobs.com/jobs/4859354-0/biologist-1-3-lafayette-wma,State of Louisiana,"Lafayette, LA","Classified - $3,181.00 - $5,724.00 Monthly",GIS,30.2262187,-92.0178202,"https://www.google.com/maps/search/?api=1&query=30.2262187,-92.0178202",3181.0,5724.0
City Forester,https://www.governmentjobs.com/jobs/4859902-0/city-forester,Minnesota City Jobs,Blaine,FT - $44.29 - $57.57 Hourly,Forestry,45.1607987,-93.2349489,"https://www.google.com/maps/search/?api=1&query=45.1607987,-93.2349489",92123.2,119745.6
Forestry Technician I - Area 46,https://www.governmentjobs.com/jobs/4852073-0/forestry-technician-i-area-46,State of Mississippi,"24 - HARRISON COUNTY, MS","Full-Time - $37,000.00 - $42,856.26 Annually",Forestry,30.4034165,-89.2444176,"https://www.google.com/maps/search/?api=1&query=30.4034165,-89.2444176",37000.0,42856.26
Forest Ranger I - Area 46,https://www.governmentjobs.com/jobs/4852146-0/forest-ranger-i-area-46,State of Mississippi,"24 - HARRISON COUNTY, MS","Full-Time - $30,000.00 - $36,071.27 Annually",Parks & Recreation,30.4034165,-89.2444176,"https://www.google.com/maps/search/?api=1&query=30.4034165,-89.2444176",30000.0,36071.27
Environmental Inspector in Training - Environmental Protection - See Posting,https://www.governmentjobs.com/jobs/4859513-0/environmental-inspector-in-training-environmental-protection-see-posting,West Virginia,"- See Posting., WV","Full-Time Permanent - $39,461.00 - $68,582.00 Annually",Environmental,38.4758406,-80.8408415,"https://www.google.com/maps/search/?api=1&query=38.4758406,-80.8408415",39461.0,68582.0
Aquatic Plant Technician,https://www.governmentjobs.com/jobs/4859663-0/aquatic-plant-technician,Citrus County Board of County Commissioners,"Citrus County, FL",Full Time - $18.68 Hourly,Natural Resources,28.8512851,-82.5141209,"https://www.google.com/maps/search/?api=1&query=28.8512851,-82.5141209",,38854.4
Brownfield Project Manager (Geologist/Hydrologist I),https://www.governmentjobs.com/jobs/4859323-0/brownfield-project-manager-geologist-hydrologist-i,State of South Carolina,"Richland County, SC","FTE - Full-Time - $38,985.00 - $72,134.00 Annually",Environmental,34.0190006,-80.9176832,"https://www.google.com/maps/search/?api=1&query=34.0190006,-80.9176832",38985.0,72134.0
Environmental Scientist (EHM III),https://www.governmentjobs.com/jobs/4859660-0/environmental-scientist-ehm-iii,State of South Carolina,"Statewide, SC","FTE - Full-Time - $56,210.00 - $104,000.00 Annually",Environmental,35.47044905,-97.5409813631977,"https://www.google.com/maps/search/?api=1&query=35.47044905,-97.5409813631977",56210.0,104000.0
Park and Recreation Ranger 9 (Onaway State Park),https://www.governmentjobs.com/jobs/4859213-0/park-and-recreation-ranger-9-onaway-state-park,State of Michigan,"Onaway, MI",Permanent Full Time - $25.39 - $32.63 Hourly,Parks & Recreation,45.357512,-84.223903,"https://www.google.com/maps/search/?api=1&query=45.357512,-84.223903",52811.200000000004,67870.40000000001
Environmental Education/Outreach Specialist (EHM II),https://www.governmentjobs.com/jobs/4859482-0/environmental-education-outreach-specialist-ehm-ii,State of South Carolina,"Statewide, SC","FTE - Full-Time - $46,655.00 - $86,321.00 Annually",Environmental,35.47044905,-97.5409813631977,"https://www.google.com/maps/search/?api=1&query=35.47044905,-97.5409813631977",46655.0,86321.0
Trades Tech-PT (Trails / Construction),https://www.governmentjobs.com/jobs/4859077-0/trades-tech-pt-trails-construction,Gwinnett County,"Gwinnett County, GA",Part-Time - $16.00 Hourly,Parks & Recreation,33.9566869,-84.0227467,"https://www.google.com/maps/search/?api=1&query=33.9566869,-84.0227467",,33280.0
Environmental Technician (Hazardous Waste Handling),https://www.governmentjobs.com/jobs/4566199-0/environmental-technician-hazardous-waste-handling,SOUTHEASTERN PSA (VA),"Suffolk, VA",Full-Time - $17.42 - $21.78 Hourly,Environmental,36.7281341,-76.5834683,"https://www.google.com/maps/search/?api=1&query=36.7281341,-76.5834683",36233.600000000006,45302.4
Water Treatment Plant Operator (SCADA),https://www.governmentjobs.com/jobs/4586936-0/water-treatment-plant-operator-scada,Seminole County/Board of County Commissioners,"Winter Park, FL","Full Time Employment - $42,883.06 - $55,747.98 Annually",Water,28.5977707,-81.3510264,"https://www.google.com/maps/search/?api=1&query=28.5977707,-81.3510264",42883.06,55747.98
Chief Water Treatment Plant Operator,https://www.governmentjobs.com/jobs/4604927-0/chief-water-treatment-plant-operator,Seminole County/Board of County Commissioners,"Winter Park, FL","Full Time Employment - $50,018.80 - $65,024.44 Annually",Water,28.5977707,-81.3510264,"https://www.google.com/maps/search/?api=1&query=28.5977707,-81.3510264",50018.8,65024.44
Water Treatment Plant Operator,https://www.governmentjobs.com/jobs/4847324-0/water-treatment-plant-operator,Seminole County/Board of County Commissioners,"Winter Park, FL","Full Time Employment - $42,883.06 - $55,747.98 Annually",Water,28.5977707,-81.3510264,"https://www.google.com/maps/search/?api=1&query=28.5977707,-81.3510264",42883.06,55747.98
Environmental Review Coordinator,https://www.governmentjobs.com/jobs/4666737-0/environmental-review-coordinator,State of North Carolina,"Wake County, NC","Permanent Full-Time - $50,633.00 - $88,607.00 Annually",Environmental,35.7979355,-78.6118311,"https://www.google.com/maps/search/?api=1&query=35.7979355,-78.6118311",50633.0,88607.0
Air Quality Specialist Trainee (Environmental Trainee),https://www.governmentjobs.com/jobs/4854053-0/air-quality-specialist-trainee-environmental-trainee,Commonwealth of Pennsylvania,"Lycoming County, PA","Civil Service Permanent Full-Time - $44,890.00 - $67,678.00 Annually",Environmental,41.3472688,-77.0220348,"https://www.google.com/maps/search/?api=1&query=41.3472688,-77.0220348",44890.0,67678.0
Dental Assistant - SCI Forest,https://www.governmentjobs.com/jobs/4848359-0/dental-assistant-sci-forest,Commonwealth of Pennsylvania,"Forest County, PA","Non-Civil Service Permanent Full-time - $35,306.00 - $51,932.00 Annually",Forestry,41.5329762,-79.2640912,"https://www.google.com/maps/search/?api=1&query=41.5329762,-79.2640912",35306.0,51932.0
Environmental Educator,https://www.governmentjobs.com/jobs/4859372-0/environmental-educator,Montgomery County (PA),"Lower Perkiomen Valley Park, PA",Full-Time - $24.33 - $32.44 Hourly,Environmental,40.1286544,-75.4472740763417,"https://www.google.com/maps/search/?api=1&query=40.1286544,-75.4472740763417",50606.399999999994,67475.2
Marine Fisheries Coastwide Programs Manager,https://www.governmentjobs.com/jobs/4740606-0/marine-fisheries-coastwide-programs-manager,State of North Carolina,"Carteret County, NC","Permanent Full-Time - $64,621.00 - $113,088.00 Annually",Fish & Wildlife,34.8496625,-76.5931208,"https://www.google.com/maps/search/?api=1&query=34.8496625,-76.5931208",64621.0,113088.0
